Ticker,Score,Magnitude
NKE,0.8999999761581421,0.8999999761581421
AAPL,0.5,0.5
V,0.30000001192092896,0.6000000238418579
DIS,0.13333334028720856,0.2666666756073634
INTC,0.10000000149011612,0.10000000149011612
JNJ,0.10000000149011612,0.10000000149011612
AXP,0,0
AMGN,0,0
BA,0,0
CAT,0,0
CSCO,0,0
HD,0,0
HON,0.0,0.0
IBM,0,0
JPM,0,0
MCD,0,0
MMM,0,0
MRK,0.0,0.0
PG,0,0
TRV,0,0
UNH,0,0
CRM,0,0
WBA,0.0,0.0
WMT,0.0,0.0
DOW,0,0
VZ,-0.19999999872275762,0.22857142771993363
KO,-0.20000000298023224,0.20000000298023224
MSFT,-0.30000001192092896,0.30000001192092896
GS,-0.3500000089406967,0.3500000089406967
CVX,-0.4000000059604645,0.4000000059604645
